### Experimental file: ../Exp/CBClip.txt ExpType: ka CorrectOA: False CorrectCB: False OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  6.95	  6.91	±	  0.67	  6.58	  6.58	±	  0.70	  6.58	  6.58	±	  0.70	  0.00	  0.00	±	  0.00	
               Null2	  0.40	  0.37	±	  0.33	 -3.98	 -4.25	±	  2.45	  0.45	  0.37	±	  0.31	  0.20	  0.23	±	  0.20	  2.20	  2.37	±	  0.47	 -0.02	 -0.03	±	  0.76	  1.88	  1.98	±	  0.44	  0.43	  0.27	±	  0.25	
       BAR-ab-initio	 -0.12	 -0.13	±	  0.44	 -8.49	 -8.47	±	  3.46	 -0.09	 -0.10	±	  0.28	  0.01	  0.09	±	  0.13	  3.99	  4.02	±	  0.77	 -1.12	 -1.12	±	  1.24	  3.34	  3.38	±	  0.73	 -0.16	 -0.11	±	  0.24	
        TI-ab-initio	 -0.63	 -0.61	±	  0.50	-10.60	-10.56	±	  3.31	 -0.42	 -0.38	±	  0.29	  0.18	  0.23	±	  0.20	  4.73	  4.78	±	  0.85	  0.16	  0.16	±	  1.53	  4.21	  4.22	±	  0.76	 -0.20	 -0.25	±	  0.25	
            BAR-dock	 -0.36	 -0.38	±	  0.56	 -7.81	 -7.96	±	  4.34	 -0.23	 -0.20	±	  0.28	  0.05	  0.12	±	  0.15	  4.66	  4.85	±	  1.01	  1.14	  1.14	±	  1.53	  3.92	  3.98	±	  0.94	 -0.24	 -0.17	±	  0.23	
             TI-dock	 -0.05	 -0.10	±	  0.45	 -6.93	 -7.27	±	  3.22	 -0.05	 -0.04	±	  0.31	  0.00	  0.10	±	  0.12	  3.43	  3.58	±	  0.72	 -0.00	  0.00	±	  1.15	  2.96	  3.04	±	  0.64	 -0.16	 -0.07	±	  0.23	
              TI/BAR	 -0.12	 -0.12	±	  0.41	 -9.31	 -9.28	±	  3.22	 -0.11	 -0.09	±	  0.30	  0.01	  0.10	±	  0.14	  3.98	  4.05	±	  0.92	 -1.92	 -1.92	±	  1.16	  3.31	  3.38	±	  0.76	 -0.20	 -0.11	±	  0.25	
               BEDAM	  1.73	  1.77	±	  0.78	  3.61	  4.02	±	  5.20	  0.66	  0.65	±	  0.20	  0.44	  0.47	±	  0.20	  4.78	  4.61	±	  1.27	 -1.21	 -1.21	±	  1.46	  3.48	  3.48	±	  1.04	  0.42	  0.38	±	  0.24	
            MovTyp-1	  0.02	  0.04	±	  0.32	 -4.67	 -4.51	±	  2.34	  0.02	  0.02	±	  0.28	  0.00	  0.08	±	  0.11	  3.54	  3.48	±	  0.68	  1.76	  1.76	±	  0.97	  2.76	  2.76	±	  0.70	 -0.02	 -0.03	±	  0.28	
            MovTyp-2	 -0.01	 -0.00	±	  0.50	 -4.84	 -4.82	±	  3.38	 -0.01	 -0.02	±	  0.32	  0.00	  0.10	±	  0.14	  4.19	  4.12	±	  0.78	  1.81	  1.82	±	  1.20	  3.37	  3.37	±	  0.79	  0.02	  0.02	±	  0.30	
              SOMD-1	  2.68	  2.71	±	  0.51	  7.07	  7.22	±	  4.00	  0.87	  0.86	±	  0.10	  0.76	  0.75	±	  0.16	  6.42	  6.38	±	  0.89	 -4.01	 -4.01	±	  1.60	  5.66	  5.67	±	  0.97	  0.69	  0.63	±	  0.15	
              SOMD-2	  2.68	  2.71	±	  0.50	  7.18	  7.31	±	  4.00	  0.87	  0.86	±	  0.10	  0.76	  0.75	±	  0.16	  6.35	  6.31	±	  0.87	 -3.91	 -3.91	±	  1.59	  5.60	  5.61	±	  0.96	  0.73	  0.64	±	  0.15	
              SOMD-3	  2.68	  2.71	±	  0.50	  8.37	  8.54	±	  4.00	  0.87	  0.86	±	  0.10	  0.76	  0.74	±	  0.16	  5.67	  5.65	±	  0.68	 -2.66	 -2.65	±	  1.59	  5.12	  5.12	±	  0.78	  0.73	  0.64	±	  0.15	
              SOMD-4	  5.61	  5.57	±	  2.39	 37.76	 37.05	±	 19.49	  0.68	  0.67	±	  0.25	  0.46	  0.51	±	  0.25	 18.44	 17.69	±	  5.37	  7.43	  7.47	±	  5.35	 12.85	 12.87	±	  4.22	  0.51	  0.47	±	  0.25	
