### Experimental file: ../Exp/CBClip.txt ExpType: ka CorrectOA: False CorrectCB: True OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.00	  0.00	±	  0.00	 -6.58	 -6.58	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  2.22	  2.18	±	  0.41	 -0.00	  0.00	±	  0.70	  1.85	  1.84	±	  0.39	  0.00	  0.00	±	  0.00	
               Null2	  0.40	  0.37	±	  0.33	 -3.96	 -4.23	±	  2.46	  0.45	  0.37	±	  0.31	  0.20	  0.23	±	  0.20	  2.20	  2.37	±	  0.47	 -0.00	  0.00	±	  0.77	  1.88	  1.98	±	  0.44	  0.43	  0.27	±	  0.25	
       BAR-ab-initio	 -0.12	 -0.12	±	  0.44	 -7.37	 -7.33	±	  3.45	 -0.09	 -0.10	±	  0.28	  0.01	  0.09	±	  0.13	  3.83	  3.86	±	  0.73	  0.00	 -0.00	±	  1.24	  3.06	  3.10	±	  0.76	 -0.16	 -0.11	±	  0.25	
        TI-ab-initio	 -0.63	 -0.61	±	  0.50	-10.75	-10.69	±	  3.32	 -0.42	 -0.38	±	  0.29	  0.18	  0.23	±	  0.20	  4.73	  4.78	±	  0.82	  0.00	 -0.00	±	  1.53	  4.25	  4.25	±	  0.74	 -0.20	 -0.25	±	  0.25	
            BAR-dock	 -0.36	 -0.38	±	  0.57	 -8.95	 -9.09	±	  4.35	 -0.23	 -0.20	±	  0.28	  0.05	  0.12	±	  0.15	  4.52	  4.71	±	  1.05	  0.00	 -0.00	±	  1.53	  3.92	  4.01	±	  0.85	 -0.24	 -0.17	±	  0.23	
             TI-dock	 -0.05	 -0.10	±	  0.46	 -6.93	 -7.28	±	  3.27	 -0.05	 -0.04	±	  0.31	  0.00	  0.10	±	  0.12	  3.43	  3.58	±	  0.72	 -0.00	 -0.00	±	  1.15	  2.96	  3.03	±	  0.64	 -0.16	 -0.06	±	  0.23	
              TI/BAR	 -0.12	 -0.12	±	  0.41	 -7.40	 -7.35	±	  3.22	 -0.11	 -0.09	±	  0.30	  0.01	  0.10	±	  0.14	  3.49	  3.59	±	  0.81	 -0.00	  0.00	±	  1.17	  2.82	  2.87	±	  0.73	 -0.20	 -0.11	±	  0.25	
               BEDAM	  1.73	  1.77	±	  0.78	  4.82	  5.22	±	  5.18	  0.66	  0.65	±	  0.20	  0.44	  0.46	±	  0.20	  4.63	  4.49	±	  1.09	 -0.00	 -0.00	±	  1.46	  3.52	  3.53	±	  0.94	  0.42	  0.38	±	  0.24	
            MovTyp-1	  0.02	  0.04	±	  0.33	 -6.43	 -6.27	±	  2.41	  0.02	  0.02	±	  0.28	  0.00	  0.08	±	  0.11	  3.07	  3.03	±	  0.50	 -0.00	  0.01	±	  0.97	  2.63	  2.63	±	  0.50	 -0.02	 -0.03	±	  0.28	
            MovTyp-2	 -0.01	  0.00	±	  0.50	 -6.66	 -6.61	±	  3.40	 -0.01	 -0.02	±	  0.32	  0.00	  0.10	±	  0.14	  3.78	  3.75	±	  0.53	 -0.00	 -0.00	±	  1.20	  3.37	  3.37	±	  0.55	  0.02	  0.02	±	  0.30	
              SOMD-1	  2.68	  2.72	±	  0.50	 11.08	 11.25	±	  4.00	  0.87	  0.86	±	  0.10	  0.76	  0.75	±	  0.16	  5.01	  5.01	±	  0.62	 -0.00	  0.01	±	  1.60	  4.52	  4.53	±	  0.70	  0.69	  0.63	±	  0.15	
              SOMD-2	  2.68	  2.71	±	  0.50	 11.08	 11.24	±	  4.00	  0.87	  0.86	±	  0.10	  0.76	  0.75	±	  0.16	  5.00	  4.99	±	  0.61	  0.00	 -0.01	±	  1.59	  4.51	  4.51	±	  0.70	  0.73	  0.64	±	  0.15	
              SOMD-3	  2.68	  2.71	±	  0.51	 11.04	 11.18	±	  4.04	  0.87	  0.86	±	  0.10	  0.76	  0.74	±	  0.16	  5.01	  5.00	±	  0.62	 -0.00	 -0.01	±	  1.60	  4.52	  4.52	±	  0.70	  0.73	  0.64	±	  0.15	
              SOMD-4	  5.61	  5.57	±	  2.38	 30.32	 29.60	±	 19.42	  0.68	  0.67	±	  0.25	  0.46	  0.51	±	  0.25	 16.88	 16.42	±	  4.04	 -0.00	  0.03	±	  5.34	 13.15	 13.18	±	  3.36	  0.51	  0.47	±	  0.25	
