### Experimental file: ../Exp/OAAllAvg.txt ExpType: ka CorrectOA: False CorrectCB: False OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  5.25	  5.22	±	  0.52	  5.01	  5.01	±	  0.45	  5.01	  5.01	±	  0.45	  0.00	  0.00	±	  0.00	
               Null2	  0.02	 -0.44	±	  1.02	 -7.29	 -9.29	±	  4.76	  0.01	 -0.11	±	  0.47	  0.00	  0.23	±	  0.23	  3.51	  3.57	±	  0.75	 -2.37	 -2.38	±	  0.80	  2.85	  2.93	±	  0.63	 -0.43	 -0.27	±	  0.24	
             APR-OPC	  1.33	  1.39	±	  0.48	 -0.12	  0.07	±	  2.41	  0.87	  0.84	±	  0.15	  0.75	  0.73	±	  0.18	  2.18	  2.19	±	  0.21	 -1.75	 -1.75	±	  0.39	  2.05	  2.05	±	  0.23	  0.52	  0.51	±	  0.20	
           APR-TIP3P	  1.43	  1.45	±	  0.16	  0.71	  0.76	±	  0.81	  0.98	  0.96	±	  0.05	  0.96	  0.92	±	  0.09	  1.66	  1.67	±	  0.21	 -1.45	 -1.45	±	  0.25	  1.52	  1.52	±	  0.21	  0.82	  0.72	±	  0.12	
               BEDAM	  0.05	  0.23	±	  1.46	 -8.84	 -8.22	±	  7.12	  0.02	  0.03	±	  0.33	  0.00	  0.11	±	  0.14	  6.21	  6.13	±	  1.05	 -4.06	 -4.06	±	  1.36	  5.08	  5.09	±	  1.04	 -0.06	 -0.03	±	  0.25	
        Metadynamics	  1.18	  1.12	±	  0.51	  3.72	  3.45	±	  2.57	  0.85	  0.69	±	  0.27	  0.73	  0.54	±	  0.27	  3.05	  3.18	±	  0.45	  2.82	  2.82	±	  0.45	  2.82	  2.85	±	  0.43	  0.45	  0.38	±	  0.22	
         MMPBSA-GAFF	  0.20	 -0.17	±	  1.14	 -2.12	 -3.54	±	  5.51	  0.11	  0.03	±	  0.48	  0.01	  0.23	±	  0.23	  3.64	  3.61	±	  0.50	  1.90	  1.90	±	  0.90	  3.13	  3.13	±	  0.54	 -0.09	 -0.06	±	  0.25	
            MovTyp-1	  0.13	 -0.22	±	  0.94	 -6.31	 -7.73	±	  4.45	  0.10	 -0.01	±	  0.59	  0.01	  0.35	±	  0.31	  3.09	  2.92	±	  1.04	 -1.94	 -1.95	±	  0.69	  2.05	  2.05	±	  0.67	 -0.24	 -0.19	±	  0.28	
            MovTyp-2	  0.16	 -0.24	±	  1.11	 -5.66	 -7.28	±	  5.30	  0.10	  0.01	±	  0.53	  0.01	  0.28	±	  0.27	  3.20	  3.02	±	  1.05	 -1.48	 -1.48	±	  0.82	  2.29	  2.29	±	  0.65	 -0.09	 -0.05	±	  0.29	
        PERT-bound-c	  0.22	  0.22	±	  1.02	 -4.24	 -4.04	±	  5.20	  0.15	  0.16	±	  0.42	  0.02	  0.20	±	  0.20	  2.63	  2.73	±	  0.95	 -0.31	 -0.31	±	  0.83	  1.84	  2.08	±	  0.58	  0.24	  0.21	±	  0.25	
          PERT-bound	  0.30	  0.41	±	  1.07	 -4.29	 -3.63	±	  5.49	  0.20	  0.21	±	  0.40	  0.04	  0.20	±	  0.21	  2.69	  2.80	±	  0.92	 -0.79	 -0.79	±	  0.82	  1.91	  2.17	±	  0.57	  0.36	  0.26	±	  0.25	
        PERT-hrex-c1	 -0.25	 -0.20	±	  0.99	 -6.03	 -5.59	±	  5.07	 -0.17	 -0.07	±	  0.42	  0.03	  0.18	±	  0.18	  3.03	  2.98	±	  0.88	  0.25	  0.25	±	  0.89	  2.19	  2.27	±	  0.61	  0.21	  0.19	±	  0.27	
