### Experimental file: ../Exp/OAAllAvg.txt ExpType: ka CorrectOA: True CorrectCB: False OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.10	  0.07	±	  0.14	 -4.51	 -4.65	±	  0.70	  0.32	  0.27	±	  0.26	  0.10	  0.14	±	  0.13	  1.48	  1.43	±	  0.39	  0.00	 -0.00	±	  0.43	  1.11	  1.11	±	  0.29	  0.12	  0.11	±	  0.26	
               Null2	  0.12	 -0.37	±	  1.06	 -4.41	 -6.54	±	  4.94	  0.09	 -0.06	±	  0.48	  0.01	  0.24	±	  0.22	  2.53	  2.68	±	  0.53	 -0.00	 -0.00	±	  0.79	  2.05	  2.17	±	  0.47	 -0.40	 -0.27	±	  0.25	
             APR-OPC	  1.34	  1.39	±	  0.48	  1.69	  1.84	±	  2.40	  0.87	  0.84	±	  0.15	  0.76	  0.74	±	  0.18	  1.30	  1.28	±	  0.37	  0.00	 -0.00	±	  0.38	  0.97	  1.00	±	  0.25	  0.48	  0.51	±	  0.20	
           APR-TIP3P	  1.41	  1.43	±	  0.16	  2.06	  2.13	±	  0.81	  0.98	  0.95	±	  0.06	  0.96	  0.91	±	  0.10	  0.80	  0.82	±	  0.17	  0.00	 -0.00	±	  0.24	  0.61	  0.65	±	  0.15	  0.79	  0.71	±	  0.12	
               BEDAM	  0.34	  0.43	±	  1.48	 -3.32	 -3.16	±	  7.35	  0.12	  0.11	±	  0.33	  0.01	  0.12	±	  0.14	  4.48	  4.45	±	  0.60	  0.00	 -0.00	±	  1.29	  3.74	  3.75	±	  0.71	  0.00	  0.01	±	  0.24	
     CCSD(T)-neutral	  3.03	  2.52	±	  1.91	 10.19	  7.62	±	  9.67	  0.58	  0.51	±	  0.29	  0.34	  0.34	±	  0.22	  7.32	  7.24	±	  1.04	  0.00	 -0.01	±	  2.12	  6.11	  6.10	±	  1.16	  0.24	  0.27	±	  0.24	
         DFT-charged	  2.07	  2.43	±	  1.35	  5.34	  6.78	±	  6.55	  0.54	  0.54	±	  0.19	  0.29	  0.32	±	  0.18	  5.34	  5.29	±	  0.78	  0.00	 -0.00	±	  1.55	  4.66	  4.67	±	  0.75	  0.36	  0.38	±	  0.21	
         DFT-neutral	  2.44	  2.31	±	  1.46	  7.24	  6.42	±	  7.33	  0.60	  0.55	±	  0.26	  0.36	  0.37	±	  0.21	  5.56	  5.50	±	  0.81	  0.00	  0.00	±	  1.60	  4.71	  4.71	±	  0.86	  0.24	  0.28	±	  0.24	
        Metadynamics	  1.02	  1.01	±	  0.48	  0.12	  0.07	±	  2.40	  0.88	  0.70	±	  0.27	  0.77	  0.56	±	  0.27	  0.87	  1.29	±	  0.36	  0.00	 -0.00	±	  0.39	  0.78	  1.03	±	  0.25	  0.64	  0.46	±	  0.20	
         MMPBSA-GAFF	  0.20	 -0.17	±	  1.15	 -4.01	 -5.45	±	  5.52	  0.11	  0.03	±	  0.48	  0.01	  0.23	±	  0.23	  3.11	  3.02	±	  0.75	  0.00	 -0.00	±	  0.90	  2.37	  2.37	±	  0.58	 -0.09	 -0.06	±	  0.25	
