### Experimental file: ../Exp/OASaltDep.txt ExpType: ka CorrectOA: False CorrectCB: False OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  5.28	  5.26	±	  0.52	  5.05	  5.05	±	  0.45	  5.05	  5.05	±	  0.45	  0.00	  0.00	±	  0.00	
               Null2	  0.06	 -0.36	±	  0.98	 -7.09	 -8.89	±	  4.60	  0.04	 -0.07	±	  0.45	  0.00	  0.21	±	  0.21	  3.45	  3.52	±	  0.76	 -2.34	 -2.34	±	  0.79	  2.77	  2.86	±	  0.63	 -0.26	 -0.18	±	  0.25	
             APR-OPC	  1.36	  1.45	±	  0.47	  0.09	  0.42	±	  2.35	  0.88	  0.87	±	  0.12	  0.78	  0.78	±	  0.16	  2.13	  2.13	±	  0.19	 -1.72	 -1.72	±	  0.37	  2.01	  2.01	±	  0.21	  0.61	  0.58	±	  0.18	
           APR-TIP3P	  1.43	  1.44	±	  0.17	  0.73	  0.79	±	  0.86	  0.97	  0.95	±	  0.06	  0.95	  0.90	±	  0.10	  1.65	  1.65	±	  0.21	 -1.42	 -1.42	±	  0.25	  1.48	  1.48	±	  0.22	  0.73	  0.68	±	  0.13	
               BEDAM	  0.21	  0.56	±	  1.49	 -7.99	 -6.56	±	  7.27	  0.08	  0.10	±	  0.34	  0.01	  0.12	±	  0.16	  6.12	  6.04	±	  1.03	 -4.02	 -4.03	±	  1.33	  5.01	  5.02	±	  1.01	  0.03	  0.06	±	  0.26	
        Metadynamics	  1.16	  1.09	±	  0.55	  3.68	  3.37	±	  2.79	  0.84	  0.67	±	  0.29	  0.70	  0.53	±	  0.27	  3.10	  3.23	±	  0.46	  2.85	  2.85	±	  0.46	  2.85	  2.89	±	  0.44	  0.42	  0.35	±	  0.23	
         MMPBSA-GAFF	  0.30	  0.06	±	  1.11	 -1.62	 -2.47	±	  5.49	  0.16	  0.11	±	  0.47	  0.03	  0.23	±	  0.22	  3.59	  3.56	±	  0.50	  1.94	  1.93	±	  0.87	  3.05	  3.05	±	  0.55	  0.06	  0.05	±	  0.25	
            MovTyp-1	  0.16	 -0.13	±	  0.92	 -6.14	 -7.30	±	  4.44	  0.13	  0.05	±	  0.58	  0.02	  0.34	±	  0.31	  3.04	  2.84	±	  1.06	 -1.91	 -1.91	±	  0.68	  1.98	  1.98	±	  0.67	 -0.03	 -0.03	±	  0.27	
            MovTyp-2	  0.23	 -0.09	±	  1.08	 -5.35	 -6.57	±	  5.28	  0.14	  0.07	±	  0.53	  0.02	  0.28	±	  0.26	  3.13	  2.93	±	  1.08	 -1.44	 -1.44	±	  0.80	  2.15	  2.15	±	  0.65	  0.12	  0.11	±	  0.29	
        PERT-bound-c	  0.19	  0.18	±	  1.05	 -4.37	 -4.21	±	  5.36	  0.13	  0.14	±	  0.43	  0.02	  0.20	±	  0.20	  2.65	  2.75	±	  0.95	 -0.28	 -0.28	±	  0.84	  1.86	  2.08	±	  0.59	  0.21	  0.18	±	  0.25	
          PERT-bound	  0.25	  0.32	±	  1.06	 -4.56	 -4.04	±	  5.46	  0.16	  0.17	±	  0.39	  0.03	  0.19	±	  0.19	  2.73	  2.84	±	  0.91	 -0.76	 -0.76	±	  0.83	  1.97	  2.22	±	  0.58	  0.21	  0.15	±	  0.24	
        PERT-hrex-c1	 -0.28	 -0.25	±	  1.00	 -6.18	 -5.82	±	  5.15	 -0.19	 -0.10	±	  0.42	  0.04	  0.19	±	  0.18	  3.05	  3.01	±	  0.87	  0.28	  0.28	±	  0.90	  2.21	  2.31	±	  0.61	  0.06	  0.12	±	  0.26	
        PERT-hrex-c2	 -0.01	  0.12	±	  0.66	 -4.36	 -3.65	±	  3.32	 -0.01	  0.03	±	  0.36	  0.00	  0.13	±	  0.17	  2.24	  2.27	±	  0.51	  0.74	  0.74	±	  0.63	  1.70	  1.78	±	  0.43	  0.09	  0.13	±	  0.25	
         PERT-hrex-c	 -0.30	 -0.24	±	  0.96	 -6.60	 -6.12	±	  4.94	 -0.21	 -0.12	±	  0.40	  0.04	  0.17	±	  0.17	  3.00	  2.94	±	  0.89	 -0.02	 -0.02	±	  0.88	  2.11	  2.18	±	  0.63	  0.12	  0.11	±	  0.25	
           PERT-hrex	 -0.30	 -0.22	±	  0.95	 -6.77	 -6.19	±	  4.89	 -0.21	 -0.13	±	  0.38	  0.04	  0.16	±	  0.16	  3.02	  2.97	±	  0.88	 -0.18	 -0.18	±	  0.89	  2.17	  2.25	±	  0.61	  0.11	  0.06	±	  0.25	
              SOMD-1	  1.25	  1.17	±	  0.30	 -2.24	 -2.64	±	  1.51	  0.94	  0.85	±	  0.19	  0.89	  0.76	±	  0.23	  3.61	  3.64	±	  0.30	 -3.52	 -3.52	±	  0.27	  3.52	  3.52	±	  0.27	  0.45	  0.44	±	  0.22	
              SOMD-2	  1.27	  1.18	±	  0.30	 -2.15	 -2.57	±	  1.50	  0.95	  0.86	±	  0.19	  0.89	  0.77	±	  0.23	  3.62	  3.64	±	  0.31	 -3.53	 -3.53	±	  0.27	  3.53	  3.53	±	  0.27	  0.48	  0.44	±	  0.22	
