### Experimental file: ../Exp/OASaltDep.txt ExpType: ka CorrectOA: True CorrectCB: False OAHOnly: True OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.00	  0.00	±	  0.00	 -5.59	 -5.59	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  1.73	  1.61	±	  0.63	  0.00	  0.00	±	  0.71	  1.26	  1.26	±	  0.48	  0.00	  0.00	±	  0.00	
               Null2	  0.75	  0.36	±	  7.58	 -1.37	 -3.10	±	 37.42	  0.63	  0.40	±	  0.51	  0.39	  0.41	±	  0.27	  1.67	  1.88	±	  0.49	 -0.00	 -0.00	±	  0.79	  1.46	  1.60	±	  0.45	  0.41	  0.29	±	  0.34	
             APR-OPC	  1.10	  1.19	±	  2.58	  0.58	  0.97	±	 13.22	  0.95	  0.81	±	  0.30	  0.90	  0.74	±	  0.30	  0.65	  0.69	±	  0.15	  0.00	  0.00	±	  0.29	  0.60	  0.61	±	  0.15	  0.60	  0.55	±	  0.28	
           APR-TIP3P	  1.41	  1.49	±	  0.80	  2.29	  2.69	±	  4.57	  0.99	  0.92	±	  0.19	  0.97	  0.88	±	  0.18	  0.81	  0.81	±	  0.24	  0.00	 -0.00	±	  0.35	  0.60	  0.64	±	  0.22	  0.60	  0.55	±	  0.25	
               BEDAM	 -0.46	  0.17	±	 18.08	 -8.18	 -5.08	±	 91.30	 -0.19	 -0.17	±	  0.34	  0.04	  0.14	±	  0.20	  4.83	  4.74	±	  0.93	  0.00	  0.00	±	  1.97	  4.01	  4.01	±	  1.10	 -0.07	 -0.01	±	  0.31	
     CCSD(T)-neutral	  3.26	  1.82	±	  9.43	 12.65	  6.19	±	 47.17	  0.70	  0.49	±	  0.55	  0.49	  0.54	±	  0.31	  6.99	  6.88	±	  1.29	  0.00	  0.01	±	  2.86	  5.97	  5.98	±	  1.49	  0.33	  0.31	±	  0.42	
         DFT-charged	  1.66	  3.69	±	  8.91	  3.70	 13.73	±	 44.92	  0.46	  0.48	±	  0.35	  0.21	  0.35	±	  0.28	  5.70	  5.56	±	  1.27	  0.00	  0.01	±	  2.33	  4.94	  4.94	±	  1.16	  0.47	  0.42	±	  0.28	
         DFT-neutral	  2.24	  1.99	±	  5.93	  6.95	  6.02	±	 29.75	  0.71	  0.53	±	  0.52	  0.51	  0.55	±	  0.29	  4.38	  4.32	±	  0.72	  0.00	 -0.01	±	  1.79	  3.69	  3.69	±	  0.96	  0.33	  0.31	±	  0.42	
        Metadynamics	  1.17	  1.05	±	  2.67	  0.92	  0.38	±	 16.42	  0.96	  0.73	±	  0.39	  0.92	  0.68	±	  0.33	  0.67	  0.95	±	  0.26	  0.00	 -0.00	±	  0.40	  0.58	  0.80	±	  0.24	  0.60	  0.39	±	  0.33	
         MMPBSA-GAFF	  1.03	  1.23	±	  4.91	  0.18	  1.05	±	 24.81	  0.69	  0.59	±	  0.42	  0.48	  0.52	±	  0.26	  1.85	  1.82	±	  0.33	  0.00	  0.00	±	  0.76	  1.57	  1.58	±	  0.39	  0.47	  0.39	±	  0.36	
            MovTyp-1	  0.99	  0.92	±	  2.51	 -0.05	 -0.40	±	 12.66	  0.92	  0.70	±	  0.45	  0.84	  0.70	±	  0.33	  0.75	  0.73	±	  0.17	  0.00	 -0.00	±	  0.31	  0.61	  0.61	±	  0.18	  0.47	  0.42	±	  0.38	
            MovTyp-2	  1.21	  1.40	±	  4.30	  1.15	  2.14	±	 21.73	  0.87	  0.75	±	  0.34	  0.76	  0.68	±	  0.31	  1.22	  1.20	±	  0.22	  0.00	  0.00	±	  0.50	  1.11	  1.11	±	  0.20	  0.87	  0.79	±	  0.19	
