### Experimental file: ../Exp/OASaltDep.txt ExpType: ka CorrectOA: True CorrectCB: False OAHOnly: False OAMeOnly: True CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.00	  0.00	±	  0.00	 -4.50	 -4.50	±	  0.00	  0.00	  0.00	±	  0.00	  0.00	  0.00	±	  0.00	  1.14	  1.10	±	  0.30	  0.00	  0.00	±	  0.46	  0.91	  0.91	±	  0.28	  0.00	  0.00	±	  0.00	
               Null2	 -1.52	 -1.63	±	  1.05	-11.36	-11.87	±	  4.99	 -0.83	 -0.74	±	  0.22	  0.69	  0.60	±	  0.24	  3.09	  3.15	±	  0.78	  0.00	 -0.00	±	  1.33	  2.57	  2.66	±	  0.76	 -0.83	 -0.57	±	  0.25	
             APR-OPC	  2.20	  1.93	±	  0.70	  5.41	  4.00	±	  3.44	  0.94	  0.92	±	  0.12	  0.88	  0.85	±	  0.16	  1.64	  1.55	±	  0.60	  0.00	 -0.00	±	  0.68	  1.20	  1.23	±	  0.46	  0.87	  0.73	±	  0.21	
           APR-TIP3P	  1.62	  1.54	±	  0.40	  2.81	  2.30	±	  1.92	  0.97	  0.94	±	  0.13	  0.93	  0.89	±	  0.15	  0.86	  0.85	±	  0.28	  0.00	  0.00	±	  0.37	  0.59	  0.66	±	  0.25	  0.87	  0.72	±	  0.22	
               BEDAM	  2.68	  2.09	±	  2.42	  7.55	  4.81	±	 11.78	  0.67	  0.52	±	  0.50	  0.45	  0.52	±	  0.31	  3.86	  3.81	±	  0.65	  0.00	  0.00	±	  1.58	  3.28	  3.29	±	  0.83	  0.33	  0.28	±	  0.40	
     CCSD(T)-neutral	  3.73	  2.22	±	  5.34	 12.30	  4.20	±	 26.27	  0.52	  0.42	±	  0.47	  0.27	  0.39	±	  0.29	  7.60	  7.41	±	  1.70	  0.00	  0.00	±	  3.10	  6.21	  6.21	±	  1.79	  0.20	  0.18	±	  0.41	
         DFT-charged	  4.14	  3.90	±	  2.41	 14.14	 12.46	±	 11.97	  0.82	  0.68	±	  0.50	  0.68	  0.71	±	  0.21	  4.81	  4.75	±	  0.78	  0.00	  0.02	±	  1.96	  4.27	  4.28	±	  0.90	  0.33	  0.31	±	  0.42	
         DFT-neutral	  3.92	  2.73	±	  4.33	 13.13	  6.91	±	 21.23	  0.62	  0.51	±	  0.44	  0.39	  0.45	±	  0.31	  6.48	  6.36	±	  1.26	  0.00	 -0.00	±	  2.65	  5.57	  5.57	±	  1.36	  0.33	  0.30	±	  0.39	
        Metadynamics	  0.62	  0.81	±	  1.36	 -1.71	 -0.82	±	  5.67	  0.53	  0.40	±	  0.43	  0.29	  0.35	±	  0.28	  1.19	  1.64	±	  0.52	  0.00	  0.00	±	  0.70	  1.17	  1.39	±	  0.41	  0.33	  0.27	±	  0.33	
         MMPBSA-GAFF	 -1.69	 -1.23	±	  1.87	-12.09	 -9.36	±	  9.10	 -0.63	 -0.47	±	  0.58	  0.39	  0.55	±	  0.33	  3.86	  3.69	±	  1.17	  0.00	 -0.01	±	  1.58	  2.95	  2.96	±	  1.02	 -0.33	 -0.28	±	  0.39	
