### Experimental file: ../Exp/OASaltDep.txt ExpType: ka CorrectOA: True CorrectCB: False OAHOnly: False OAMeOnly: False CalcPairDiffs: False WithUncert: True WithRep: True
          Submission	Slope	Mean	±	SEM	Interc	Mean	±	SEM	R	Mean	±	SEM	R^2	Mean	±	SEM	RMSE	Mean	±	SEM	MSE	Mean	±	SEM	MUE	Mean	±	SEM	TAU	Mean	±	SEM	
               Null1	  0.12	  0.10	±	  0.14	 -4.43	 -4.53	±	  0.71	  0.35	  0.31	±	  0.24	  0.12	  0.16	±	  0.13	  1.46	  1.41	±	  0.38	  0.00	  0.00	±	  0.42	  1.08	  1.09	±	  0.28	  0.21	  0.18	±	  0.25	
               Null2	  0.18	 -0.25	±	  0.99	 -4.13	 -6.01	±	  4.66	  0.13	 -0.01	±	  0.46	  0.02	  0.21	±	  0.20	  2.48	  2.62	±	  0.53	  0.00	 -0.01	±	  0.77	  2.02	  2.13	±	  0.47	 -0.25	 -0.16	±	  0.26	
             APR-OPC	  1.38	  1.47	±	  0.47	  1.92	  2.24	±	  2.34	  0.89	  0.88	±	  0.11	  0.79	  0.79	±	  0.15	  1.25	  1.21	±	  0.40	  0.00	  0.00	±	  0.37	  0.90	  0.92	±	  0.26	  0.58	  0.59	±	  0.18	
           APR-TIP3P	  1.42	  1.44	±	  0.17	  2.10	  2.17	±	  0.87	  0.97	  0.95	±	  0.06	  0.94	  0.90	±	  0.11	  0.84	  0.85	±	  0.18	  0.00	  0.00	±	  0.25	  0.60	  0.65	±	  0.17	  0.73	  0.68	±	  0.13	
               BEDAM	  0.55	  0.84	±	  1.41	 -2.29	 -1.15	±	  6.92	  0.19	  0.20	±	  0.32	  0.04	  0.14	±	  0.17	  4.37	  4.34	±	  0.58	  0.00	 -0.00	±	  1.26	  3.64	  3.65	±	  0.70	  0.09	  0.11	±	  0.23	
     CCSD(T)-neutral	  3.11	  2.63	±	  1.97	 10.65	  8.24	±	  9.93	  0.60	  0.53	±	  0.28	  0.36	  0.36	±	  0.22	  7.30	  7.22	±	  1.05	  0.00	  0.01	±	  2.11	  6.09	  6.09	±	  1.16	  0.33	  0.33	±	  0.24	
         DFT-charged	  2.24	  2.77	±	  1.52	  6.24	  8.49	±	  7.24	  0.58	  0.59	±	  0.16	  0.34	  0.38	±	  0.17	  5.27	  5.21	±	  0.77	  0.00	 -0.00	±	  1.52	  4.61	  4.61	±	  0.74	  0.52	  0.50	±	  0.18	
         DFT-neutral	  2.53	  2.46	±	  1.45	  7.74	  7.20	±	  7.31	  0.62	  0.58	±	  0.24	  0.39	  0.39	±	  0.21	  5.53	  5.47	±	  0.81	  0.00	  0.01	±	  1.60	  4.63	  4.63	±	  0.87	  0.30	  0.30	±	  0.26	
        Metadynamics	  1.00	  0.96	±	  0.49	  0.01	 -0.15	±	  2.49	  0.85	  0.66	±	  0.29	  0.72	  0.52	±	  0.28	  0.97	  1.36	±	  0.35	  0.00	  0.00	±	  0.40	  0.88	  1.09	±	  0.25	  0.48	  0.38	±	  0.21	
         MMPBSA-GAFF	  0.31	  0.08	±	  1.10	 -3.49	 -4.31	±	  5.48	  0.17	  0.12	±	  0.47	  0.03	  0.23	±	  0.22	  3.03	  2.93	±	  0.77	  0.00	  0.00	±	  0.88	  2.26	  2.27	±	  0.58	  0.06	  0.05	±	  0.25	
            MovTyp-1	  0.33	  0.01	±	  0.90	 -3.38	 -4.67	±	  4.31	  0.25	  0.11	±	  0.57	  0.06	  0.34	±	  0.28	  2.24	  2.12	±	  0.73	  0.00	  0.00	±	  0.65	  1.44	  1.44	±	  0.50	  0.00	 -0.01	±	  0.26	
            MovTyp-2	  0.42	  0.07	±	  1.04	 -2.95	 -4.32	±	  5.04	  0.25	  0.14	±	  0.52	  0.06	  0.29	±	  0.25	  2.65	  2.55	±	  0.73	  0.00	  0.00	±	  0.76	  1.94	  1.94	±	  0.52	  0.09	  0.06	±	  0.27	
        PERT-bound-c	  0.52	  0.46	±	  0.94	 -2.42	 -2.54	±	  4.79	  0.37	  0.29	±	  0.43	  0.14	  0.27	±	  0.24	  2.18	  2.37	±	  0.76	  0.00	 -0.00	±	  0.72	  1.52	  1.77	±	  0.51	  0.30	  0.23	±	  0.26	
